product_id,user_id,name,quantity,price,description,image_url
1,,Flying Squirrel Onesie,4,20.0,a cute suit,http://www.pajamasuper.com/image/cache//catalog/kigurumi/adults/winter/pb1899-800x800.jpg
2,,Basic PJs,30,180.0,for that basic Starbucks drinker in your life,https://i.s-jcrew.com/is/image/jcrew/G3908_WU9049_m?$pdp_enlarge$
3,,Adorable Family Pajama Set,8,60.0,cutesy suits for the whole fam,http://image.hannaandersson.com/is/image/Hanna/HSIM16_FamilySleep_460X320_sunshine?scl=1
4,,Couple Jammies,10,100.0,so you n bae can always match,https://cdn.shopify.com/s/files/1/0781/9037/products/Z-JS-PN_1024x1024.jpg?v=1481261677
5,,Shark Jams,40,200.0,scare your friends!,http://demandware.edgesuite.net/sits_pod38/dw/image/v2/AAMK_PRD/on/demandware.static/-/Sites-carters_master_catalog/default/dwf948ef61/hi-res/343G079_Default.jpg?sw=470
6,,Jammies for Kids,1,50000000.0,it is a law that you put this on your baby goat,https://i.ytimg.com/vi/2vYABg3J5mw/hqdefault.jpg
7,,Bananajams,300,5.0,great for gymnastics,http://thegiggleguide.com/sites/thegiggleguide.com/files/imagecache/full-size/img/features/2009/09/7741/New_Jammies_12-13-06_001_0.jpg
8,,Matching Christmas Set,30,20.0,wear these the entire month of December during all daily activities,http://www.enzasbargains.com/wp-content/uploads/2014/11/target-elf-pajamas.jpeg
9,,Dweeb Jams,1000,2.0,I guess if you wanna look like a big dorkus while you sleep you can buy these,http://s7d4.scene7.com/is/image/BrooksBrothers/930B_BLUE?$bbproductimages$
10,,Lisa Frank Onesie,20,10.0,relive your 90s glory days!,https://68.media.tumblr.com/b15a355aa0f593c31a206bea8f9c36d0/tumblr_ncdebsZInV1qhk5w6o3_1280.jpg
